-- Logs begin at Mon 2021-04-05 20:21:25 UTC, end at Tue 2021-04-06 03:14:37 UTC. --
Apr 06 03:13:53 ip-10-17-23-83 kubelet[1423]: W0406 03:13:53.422110    1423 driver-call.go:149] FlexVolume: driver call failed: executable: /usr/libexec/kubernetes/kubelet-plugins/volume/exec/nodeagent~uds/uds, args: [init], error: fork/exec /usr/libexec/kubernetes/kubelet-plugins/volume/exec/nodeagent~uds/uds: no such file or directory, output: ""
Apr 06 03:13:53 ip-10-17-23-83 kubelet[1423]: E0406 03:13:53.422121    1423 plugins.go:747] Error dynamically probing plugins: Error creating Flexvolume plugin from directory nodeagent~uds, skipping. Error: unexpected end of JSON input
Apr 06 03:13:53 ip-10-17-23-83 kubelet[1423]: E0406 03:13:53.422305    1423 driver-call.go:266] Failed to unmarshal output for command: init, output: "", error: unexpected end of JSON input
Apr 06 03:13:53 ip-10-17-23-83 kubelet[1423]: W0406 03:13:53.422315    1423 driver-call.go:149] FlexVolume: driver call failed: executable: /usr/libexec/kubernetes/kubelet-plugins/volume/exec/nodeagent~uds/uds, args: [init], error: fork/exec /usr/libexec/kubernetes/kubelet-plugins/volume/exec/nodeagent~uds/uds: no such file or directory, output: ""
Apr 06 03:13:53 ip-10-17-23-83 kubelet[1423]: E0406 03:13:53.422327    1423 plugins.go:747] Error dynamically probing plugins: Error creating Flexvolume plugin from directory nodeagent~uds, skipping. Error: unexpected end of JSON input
Apr 06 03:13:53 ip-10-17-23-83 kubelet[1423]: E0406 03:13:53.422596    1423 driver-call.go:266] Failed to unmarshal output for command: init, output: "", error: unexpected end of JSON input
Apr 06 03:13:53 ip-10-17-23-83 kubelet[1423]: W0406 03:13:53.422607    1423 driver-call.go:149] FlexVolume: driver call failed: executable: /usr/libexec/kubernetes/kubelet-plugins/volume/exec/nodeagent~uds/uds, args: [init], error: fork/exec /usr/libexec/kubernetes/kubelet-plugins/volume/exec/nodeagent~uds/uds: no such file or directory, output: ""
Apr 06 03:13:53 ip-10-17-23-83 kubelet[1423]: E0406 03:13:53.422620    1423 plugins.go:747] Error dynamically probing plugins: Error creating Flexvolume plugin from directory nodeagent~uds, skipping. Error: unexpected end of JSON input
Apr 06 03:13:53 ip-10-17-23-83 kubelet[1423]: E0406 03:13:53.423553    1423 driver-call.go:266] Failed to unmarshal output for command: init, output: "", error: unexpected end of JSON input
Apr 06 03:13:53 ip-10-17-23-83 kubelet[1423]: W0406 03:13:53.423566    1423 driver-call.go:149] FlexVolume: driver call failed: executable: /usr/libexec/kubernetes/kubelet-plugins/volume/exec/nodeagent~uds/uds, args: [init], error: fork/exec /usr/libexec/kubernetes/kubelet-plugins/volume/exec/nodeagent~uds/uds: no such file or directory, output: ""
Apr 06 03:13:53 ip-10-17-23-83 kubelet[1423]: E0406 03:13:53.423584    1423 plugins.go:747] Error dynamically probing plugins: Error creating Flexvolume plugin from directory nodeagent~uds, skipping. Error: unexpected end of JSON input
Apr 06 03:13:53 ip-10-17-23-83 kubelet[1423]: E0406 03:13:53.424534    1423 driver-call.go:266] Failed to unmarshal output for command: init, output: "", error: unexpected end of JSON input
Apr 06 03:13:53 ip-10-17-23-83 kubelet[1423]: W0406 03:13:53.424545    1423 driver-call.go:149] FlexVolume: driver call failed: executable: /usr/libexec/kubernetes/kubelet-plugins/volume/exec/nodeagent~uds/uds, args: [init], error: fork/exec /usr/libexec/kubernetes/kubelet-plugins/volume/exec/nodeagent~uds/uds: no such file or directory, output: ""
Apr 06 03:13:53 ip-10-17-23-83 kubelet[1423]: E0406 03:13:53.424558    1423 plugins.go:747] Error dynamically probing plugins: Error creating Flexvolume plugin from directory nodeagent~uds, skipping. Error: unexpected end of JSON input
Apr 06 03:13:53 ip-10-17-23-83 kubelet[1423]: E0406 03:13:53.424768    1423 driver-call.go:266] Failed to unmarshal output for command: init, output: "", error: unexpected end of JSON input
Apr 06 03:13:53 ip-10-17-23-83 kubelet[1423]: W0406 03:13:53.424779    1423 driver-call.go:149] FlexVolume: driver call failed: executable: /usr/libexec/kubernetes/kubelet-plugins/volume/exec/nodeagent~uds/uds, args: [init], error: fork/exec /usr/libexec/kubernetes/kubelet-plugins/volume/exec/nodeagent~uds/uds: no such file or directory, output: ""
Apr 06 03:13:53 ip-10-17-23-83 kubelet[1423]: E0406 03:13:53.424791    1423 plugins.go:747] Error dynamically probing plugins: Error creating Flexvolume plugin from directory nodeagent~uds, skipping. Error: unexpected end of JSON input
Apr 06 03:13:53 ip-10-17-23-83 kubelet[1423]: E0406 03:13:53.427851    1423 driver-call.go:266] Failed to unmarshal output for command: init, output: "", error: unexpected end of JSON input
Apr 06 03:13:53 ip-10-17-23-83 kubelet[1423]: W0406 03:13:53.427869    1423 driver-call.go:149] FlexVolume: driver call failed: executable: /usr/libexec/kubernetes/kubelet-plugins/volume/exec/nodeagent~uds/uds, args: [init], error: fork/exec /usr/libexec/kubernetes/kubelet-plugins/volume/exec/nodeagent~uds/uds: no such file or directory, output: ""
Apr 06 03:13:53 ip-10-17-23-83 kubelet[1423]: E0406 03:13:53.427886    1423 plugins.go:747] Error dynamically probing plugins: Error creating Flexvolume plugin from directory nodeagent~uds, skipping. Error: unexpected end of JSON input
Apr 06 03:13:53 ip-10-17-23-83 kubelet[1423]: E0406 03:13:53.428152    1423 driver-call.go:266] Failed to unmarshal output for command: init, output: "", error: unexpected end of JSON input
Apr 06 03:13:53 ip-10-17-23-83 kubelet[1423]: W0406 03:13:53.428164    1423 driver-call.go:149] FlexVolume: driver call failed: executable: /usr/libexec/kubernetes/kubelet-plugins/volume/exec/nodeagent~uds/uds, args: [init], error: fork/exec /usr/libexec/kubernetes/kubelet-plugins/volume/exec/nodeagent~uds/uds: no such file or directory, output: ""
Apr 06 03:13:53 ip-10-17-23-83 kubelet[1423]: E0406 03:13:53.428178    1423 plugins.go:747] Error dynamically probing plugins: Error creating Flexvolume plugin from directory nodeagent~uds, skipping. Error: unexpected end of JSON input
Apr 06 03:13:53 ip-10-17-23-83 kubelet[1423]: E0406 03:13:53.428342    1423 driver-call.go:266] Failed to unmarshal output for command: init, output: "", error: unexpected end of JSON input
Apr 06 03:13:53 ip-10-17-23-83 kubelet[1423]: W0406 03:13:53.428352    1423 driver-call.go:149] FlexVolume: driver call failed: executable: /usr/libexec/kubernetes/kubelet-plugins/volume/exec/nodeagent~uds/uds, args: [init], error: fork/exec /usr/libexec/kubernetes/kubelet-plugins/volume/exec/nodeagent~uds/uds: no such file or directory, output: ""
Apr 06 03:13:53 ip-10-17-23-83 kubelet[1423]: E0406 03:13:53.428364    1423 plugins.go:747] Error dynamically probing plugins: Error creating Flexvolume plugin from directory nodeagent~uds, skipping. Error: unexpected end of JSON input
Apr 06 03:13:53 ip-10-17-23-83 kubelet[1423]: E0406 03:13:53.428522    1423 driver-call.go:266] Failed to unmarshal output for command: init, output: "", error: unexpected end of JSON input
Apr 06 03:13:53 ip-10-17-23-83 kubelet[1423]: W0406 03:13:53.428532    1423 driver-call.go:149] FlexVolume: driver call failed: executable: /usr/libexec/kubernetes/kubelet-plugins/volume/exec/nodeagent~uds/uds, args: [init], error: fork/exec /usr/libexec/kubernetes/kubelet-plugins/volume/exec/nodeagent~uds/uds: no such file or directory, output: ""
Apr 06 03:13:53 ip-10-17-23-83 kubelet[1423]: E0406 03:13:53.428554    1423 plugins.go:747] Error dynamically probing plugins: Error creating Flexvolume plugin from directory nodeagent~uds, skipping. Error: unexpected end of JSON input
Apr 06 03:13:53 ip-10-17-23-83 kubelet[1423]: E0406 03:13:53.428721    1423 driver-call.go:266] Failed to unmarshal output for command: init, output: "", error: unexpected end of JSON input
Apr 06 03:13:53 ip-10-17-23-83 kubelet[1423]: W0406 03:13:53.428731    1423 driver-call.go:149] FlexVolume: driver call failed: executable: /usr/libexec/kubernetes/kubelet-plugins/volume/exec/nodeagent~uds/uds, args: [init], error: fork/exec /usr/libexec/kubernetes/kubelet-plugins/volume/exec/nodeagent~uds/uds: no such file or directory, output: ""
